"Rank","College or University","City","State","Acres","Enrollment of Undergraduate Certificate/Degree-Seeking Students (2022-2023)"
"495","College of Marin","Kentfield","CA","333","3648"
"496","Delta State University","Cleveland","MS","332.11","1627"
"497","Wichita State University","Wichita","KS","330","10304"
"498","University of Southern Indiana","Evansville","IN","330","5491"
"499","University of South Carolina-Upstate","Spartanburg","SC","330","4046"
"500","Wichita State University-Campus of Applied Sciences and Technology","Wichita","KS","330","2396"
"501","North Greenville University","Tigerville","SC","330","1651"
"502","Towson University","Towson","MD","329","16734"
"503","Mount Vernon Nazarene University","Mount Vernon","OH","327","1481"
"504","Mississippi College","Clinton","MS","325","2098"
"505","Washington and Lee University","Lexington","VA","325","1861"
"506","White Mountains Community College","Berlin","NH","325","424"
"507","Shepherd University","Shepherdstown","WV","323","2325"
"508","California State University-Long Beach","Long Beach","CA","322","32780"
"509","The University of Tennessee-Chattanooga","Chattanooga","TN","321","9820"
"510","University of Hawaii at Manoa","Honolulu","HI","320","13915"
"511","The University of Texas at Tyler","Tyler","TX","320","6568"
"512","Eastern Illinois University","Charleston","IL","320","4586"
"513","Owens Community College","Perrysburg","OH","320","4298"
"514","Cerro Coso Community College","Ridgecrest","CA","320","3439"
"515","Arkansas State University-Beebe","Beebe","AR","320","1829"
"516","Hobart William Smith Colleges","Geneva","NY","320","1539"
"517","New Mexico Institute of Mining and Technology","Socorro","NM","320","1160"
"518","Hagerstown Community College","Hagerstown","MD","319","2695"
"519","University of Pittsburgh-Bradford","Bradford","PA","319","1051"
"520","University of Arkansas at Pine Bluff","Pine Bluff","AR","318","2155"
"521","Texas A & M University-Corpus Christi","Corpus Christi","TX","317","7818"
"522","Haskell Indian Nations University","Lawrence","KS","317","727"
"523","Sam Houston State University","Huntsville","TX","316","18184"
"524","Wesleyan University","Middletown","CT","316","3006"
"525","Allegany College of Maryland","Cumberland","MD","316","1764"
"526","College of Southern Idaho","Twin Falls","ID","315","3531"
"527","University of Toledo","Toledo","OH","314.81","10787"
"528","University of Wisconsin-Eau Claire","Eau Claire","WI","314","9138"
"529","Nova Southeastern University","Fort Lauderdale","FL","314","6885"
"530","Hampton University","Hampton","VA","314","2846"
"531","Sierra College","Rocklin","CA","311","12531"
"532","Saint Mary-of-the-Woods College","Saint Mary of the Woods","IN","311","801"
"533","Lake Land College","Mattoon","IL","308","2577"
"534","Anderson University","Anderson","SC","305","2960"
"535","Willamette University","Salem","OR","305","1335"
"536","Anderson University","Anderson","IN","305","1111"
"537","California State University-San Marcos","San Marcos","CA","304","13844"
"538","Minnesota State University-Mankato","Mankato","MN","303","11354"
"539","University of Wisconsin-River Falls","River Falls","WI","303","4327"
"540","Southwestern Oklahoma State University","Weatherford","OK","303","3596"
"541","Texas Christian University","Fort Worth","TX","302","10510"
"542","Western Piedmont Community College","Morganton","NC","300","1280"
"543","Warner University","Lake Wales","FL","300","738"
"544","Grand Canyon University","Phoenix","AZ","300","65147"
"545","Southern New Hampshire University","Manchester","NH","300","138138"
"546","Dallas College","Dallas","TX","300","34709"
"547","California State University-Sacramento","Sacramento","CA","300","28544"
"548","Boise State University","Boise","ID","300","16979"
"549","West Chester University of Pennsylvania","West Chester","PA","300","14014"
"550","University of Southern Mississippi","Hattiesburg","MS","300","10149"
"551","Northern Kentucky University","Highland Heights","KY","300","8677"
"552","Monroe Community College","Rochester","NY","300","7460"
"553","Moraine Valley Community College","Palos Hills","IL","300","7180"
"554","Sacred Heart University","Fairfield","CT","300","6729"
"555","Pasco-Hernando State College","New Port Richey","FL","300","6630"
"556","Texas A & M International University","Laredo","TX","300","6459"
"557","Purdue University Northwest","Hammond","IN","300","6083"
"558","Bowie State University","Bowie","MD","300","5289"
"559","Ramapo College of New Jersey","Mahwah","NJ","300","4611"
"560","Rice University","Houston","TX","300","4480"
"561","Butler University","Indianapolis","IN","300","4304"
"562","George C Wallace State Community College-Hanceville","Hanceville","AL","300","4207"
"563","SUNY College at Plattsburgh","Plattsburgh","NY","300","3925"
"564","Charleston Southern University","Charleston","SC","300","2771"
"565","Citadel Military College of South Carolina","Charleston","SC","300","2658"
"566","Colorado College","Colorado Springs","CO","300","2174"
"567","South Florida State College","Avon Park","FL","300","2098"
"568","Saint Martin's University","Lacey","WA","300","1344"
"569","Piedmont University","Demorest","GA","300","1212"
"570","Virginia Wesleyan University","Virginia Beach","VA","300","1154"
"571","Doane University","Crete","NE","300","988"
"572","University of Oklahoma-Health Sciences Center","Oklahoma City","OK","300","985"
"573","Goucher College","Baltimore","MD","300","981"
"574","George C Wallace State Community College-Selma","Selma","AL","300","856"
"575","Wilson College","Chambersburg","PA","300","635"
"576","Wells College","Aurora","NY","300","349"
"577","New Mexico Military Institute","Roswell","NM","300","345"
"578","Dawson Community College","Glendive","MT","300","247"
"579","University of Pennsylvania","Philadelphia","PA","299","10572"
"580","Pitt Community College","Winterville","NC","297","4961"
"581","Susquehanna University","Selinsgrove","PA","297","2139"
"582","Rensselaer Polytechnic Institute","Troy","NY","296","5886"
"583","University of Oregon","Eugene","OR","295","19443"
"584","Pennsylvania Western University","California","PA","294","9203"
"585","Lamar University","Beaumont","TX","292","8075"
"586","Missouri University of Science and Technology","Rolla","MO","292","5453"
"587","Mercer County Community College","West Windsor","NJ","292","4945"
"588","University of Nevada-Reno","Reno","NV","290","15896"
"589","Union University","Jackson","TN","290","1731"
"590","West Liberty University","West Liberty","WV","290","1648"
"591","Keuka College","Keuka Park","NY","290","983"
"592","The College of New Jersey","Ewing","NJ","289","6840"
"593","Kutztown University of Pennsylvania","Kutztown","PA","289","6334"
"594","Truett McConnell University","Cleveland","GA","288","828"
"595","Nicholls State University","Thibodaux","LA","287","4808"
"596","Niagara County Community College","Sanborn","NY","287","2763"
"597","Washtenaw Community College","Ann Arbor","MI","285","7950"
"598","University of North Carolina at Pembroke","Pembroke","NC","281","5544"
"599","Chadron State College","Chadron","NE","281","1690"
"600","San Diego State University","San Diego","CA","280","31810"
"601","Seminole State College of Florida","Sanford","FL","280","11898"
"602","University of Wisconsin-Stevens Point","Stevens Point","WI","280","6995"
"603","Lorain County Community College","Elyria","OH","280","5483"
"604","Onondaga Community College","Syracuse","NY","280","3865"
"605","Rider University","Lawrenceville","NJ","280","3105"
"606","University of Guam","Mangilao","GU","280","2629"
"607","Columbia College","Sonora","CA","280","1801"
"608","Nicolet Area Technical College","Rhinelander","WI","280","738"
"609","George C Wallace Community College-Dothan","Dothan","AL","279","3069"
"610","Bridgewater State University","Bridgewater","MA","278","7911"
"611","Lake-Sumter State College","Leesburg","FL","276","3188"
"612","Catawba College","Salisbury","NC","276","1076"
"613","Keystone College","La Plume","PA","276","1009"
"614","Fisk University","Nashville","TN","276","1009"
"615","Ocean County College","Toms River","NJ","275","5503"
"616","McLennan Community College","Waco","TX","275","4979"
"617","Colorado State University Pueblo","Pueblo","CO","275","3008"
"618","Olivet Nazarene University","Bourbonnais","IL","275","2460"
"619","Cheyney University of Pennsylvania","Cheyney","PA","275","686"
"620","Bard College at Simon's Rock","Great Barrington","MA","275","263"
"621","University of Louisville","Louisville","KY","274","13822"
"622","University of South Dakota","Vermillion","SD","274","5265"
"623","Rockingham Community College","Wentworth","NC","274","1015"
"624","College of DuPage","Glen Ellyn","IL","273","14402"
"625","Abilene Christian University","Abilene","TX","272","3141"
"626","Abilene Christian University-Undergraduate Online","Addison","TX","272","766"
"627","Saint Louis University","Saint Louis","MO","271","7332"
"628","Maryville University of Saint Louis","Saint Louis","MO","271","5781"
"629","University of Missouri-St Louis","Saint Louis","MO","271","5378"
"630","Laramie County Community College","Cheyenne","WY","271","2394"
"631","Tallahassee Community College","Tallahassee","FL","270","9939"
"632","Texas Woman's University","Denton","TX","270","8876"
"633","Bridgewater College","Bridgewater","VA","270","1379"
"634","Brewton-Parker College","Mount Vernon","GA","270","646"
"635","Sonoma State University","Rohnert Park","CA","269","5892"
"636","Dartmouth College","Hanover","NH","269","4412"
"637","Mount Wachusett Community College","Gardner","MA","269","2342"
"638","Texas State Technical College","Waco","TX","268","8775"
"639","Angelo State University","San Angelo","TX","268","5314"
"640","Pima Community College","Tucson","AZ","267","13328"
"641","Merced College","Merced","CA","267","8333"
"642","Northeast Lakeview College","Universal City","TX","267","5277"
"643","Utah Valley University","Orem","UT","265","26961"
"644","Northwest Florida State College","Niceville","FL","264","3149"
"645","University of North Texas at Dallas","Dallas","TX","264","2923"
"646","University of Lynchburg","Lynchburg","VA","264","1543"
"647","Maryville College","Maryville","TN","263","977"
"648","Lake Michigan College","Benton Harbor","MI","262","2091"
"649","Georgia Gwinnett College","Lawrenceville","GA","261","10451"
"650","North Dakota State University-Main Campus","Fargo","ND","261","9795"
"651","Portland Community College","Portland","OR","260","17823"
"652","Villanova University","Villanova","PA","260","6926"
"653","University of Northern Colorado","Greeley","CO","260","6024"
"654","Christopher Newport University","Newport News","VA","260","4442"
"655","Frostburg State University","Frostburg","MD","260","2873"
"656","Jacksonville University","Jacksonville","FL","260","2541"
"657","Anna Maria College","Paxton","MA","260","991"
"658","Gogebic Community College","Ironwood","MI","260","536"
"659","Gwinnett College","Raleigh","NC","260","142"
"660","Murray State College","Tishomingo","OK","258.43","1300"
"661","East Stroudsburg University of Pennsylvania","East Stroudsburg","PA","258","4324"
"662","Louisiana State University-Shreveport","Shreveport","LA","258","2137"
"663","Pennsylvania State University-Penn State Berks","Reading","PA","258","2024"
"664","Guilford Technical Community College","Jamestown","NC","257","8035"
"665","Howard University","Washington","DC","256","9243"
"666","Westfield State University","Westfield","MA","256","3693"
"667","Howard College","Big Spring","TX","256","1652"
"668","Midwestern State University","Wichita Falls","TX","255","4421"
"669","Parkland College","Champaign","IL","255","3247"
"670","Lehigh Carbon Community College","Schnecksville","PA","254","4574"
"671","University of Cincinnati-Main Campus","Cincinnati","OH","253","27880"
"672","Victor Valley College","Victorville","CA","253","10123"
"673","East Texas Baptist University","Marshall","TX","253","1324"
"674","Montclair State University","Montclair","NJ","252","16902"
"675","Old Dominion University","Norfolk","VA","251","18152"
"676","Southeastern Community College","Whiteville","NC","251","754"
"677","Misericordia University","Dallas","PA","250","1727"
"678","University of North Carolina at Chapel Hill","Chapel Hill","NC","250","19921"
"679","University of North Carolina at Greensboro","Greensboro","NC","250","13862"
"680","University of New Hampshire-Main Campus","Durham","NH","250","11396"
"681","Southern Methodist University","Dallas","TX","250","7044"
"682","Millersville University of Pennsylvania","Millersville","PA","250","5697"
"683","SUNY Oneonta","Oneonta","NY","250","4849"
"684","University of Arkansas at Little Rock","Little Rock","AR","250","4802"
"685","Texas A & M University-Kingsville","Kingsville","TX","250","4562"
"686","Iowa Western Community College","Council Bluffs","IA","250","3237"
"687","Finger Lakes Community College","Canandaigua","NY","250","2844"
"688","Campbellsville University","Campbellsville","KY","250","2749"
"689","NHTI-Concord's Community College","Concord","NH","250","2208"
"690","Georgia Southwestern State University","Americus","GA","250","2092"
"691","Manhattanville College","Purchase","NY","250","1276"
"692","College of the Siskiyous","Weed","CA","250","932"
"693","The University of Texas Health Science Center at San Antonio","San Antonio","TX","250","785"
"694","Ripon College","Ripon","WI","250","754"
"695","St. John's College","Annapolis","MD","250","462"
"696","St. John's College","Santa Fe","NM","250","364"
"697","The Baptist College of Florida","Graceville","FL","250","254"
"698","Ecclesia College","Springdale","AR","250","151"
"699","Ashtabula County Technical and Career Campus","Jefferson","OH","250","115"
"700","SUNY at Fredonia","Fredonia","NY","249","3193"
"701","Samford University","Birmingham","AL","247","3668"
"702","Fort Lewis College","Durango","CO","247","3113"
"703","Bethel University","McKenzie","TN","247","2906"
"704","Bethel University","Saint Paul","MN","247","2090"
"705","Bethel University","Mishawaka","IN","247","1115"
"706","Miami Dade College","Miami","FL","245","40538"
"707","Johnson County Community College","Overland Park","KS","245","10296"
"708","Spartanburg Community College","Spartanburg","SC","245","4936"
"709","University of Illinois Chicago","Chicago","IL","244","21567"
"710","University of Minnesota-Duluth","Duluth","MN","244","7754"
"711","Hofstra University","Hempstead","NY","244","6051"
"712","Waubonsee Community College","Sugar Grove","IL","243","5400"
"713","New Mexico Junior College","Hobbs","NM","243","2135"
"714","Jarvis Christian University","Hawkins","TX","243","729"
"715","Northwestern University","Evanston","IL","242.8","8837"
"716","Marist College","Poughkeepsie","NY","242","5069"
"717","Franciscan University of Steubenville","Steubenville","OH","241","2605"
"718","California State University-Fullerton","Fullerton","CA","240","35249"
"719","Boston College","Chestnut Hill","MA","240","9751"
"720","Raritan Valley Community College","Branchburg","NJ","240","5052"
"721","Pearl River Community College","Poplarville","MS","240","4579"
"722","Sandhills Community College","Pinehurst","NC","240","2370"
"723","SUNY College at Potsdam","Potsdam","NY","240","2078"
"724","Genesee Community College","Batavia","NY","240","2026"
"725","Oklahoma State University Institute of Technology","Okmulgee","OK","240","2021"
"726","The College of Wooster","Wooster","OH","240","1960"
"727","Southwestern Michigan College","Dowagiac","MI","240","1297"
"728","Presbyterian College","Clinton","SC","240","877"
"729","University of Miami","Coral Gables","FL","239","12215"
"730","Franklin College","Franklin","IN","238","859"
"731","University of Minnesota-Crookston","Crookston","MN","237","1489"
"732","Cuyahoga Community College District","Cleveland","OH","236","11634"
"733","Murray State University","Murray","KY","236","6588"
"734","Virginia State University","Petersburg","VA","236","4295"
"735","Tennessee Technological University","Cookeville","TN","235","8341"
"736","Fox Valley Technical College","Appleton","WI","235","5525"
"737","Brandeis University","Waltham","MA","235","3675"
"738","Endicott College","Beverly","MA","235","2999"
"739","Gordon State College","Barnesville","GA","235","2663"
"740","McKendree University","Lebanon","IL","235","1528"
"741","University of Mary Washington","Fredericksburg","VA","234","3443"
"742","Florence-Darlington Technical College","Florence","SC","234","2448"
"743","Bluffton University","Bluffton","OH","234","649"
"744","Lincoln Land Community College","Springfield","IL","233.2","3720"
"745","Georgia Highlands College","Rome","GA","233","4419"
"746","Autry Technology Center","Enid","OK","233","458"
"747","Elgin Community College","Elgin","IL","232","6271"
"748","Alfred University","Alfred","NY","232","1305"
"749","Albany State University","Albany","GA","231","5645"
"750","New York University","New York","NY","230","29136"
"751","Anne Arundel Community College","Arnold","MD","230","8326"
"752","University of Louisiana at Monroe","Monroe","LA","230","5032"
"753","Robert Morris University","Moon Township","PA","230","2738"
"754","Northeast Mississippi Community College","Booneville","MS","230","2566"
"755","Angelina College","Lufkin","TX","230","2453"
"756","California State University-Stanislaus","Turlock","CA","228","8836"
"757","College of Lake County","Grayslake","IL","226.1","8977"
"758","University of Southern California","Los Angeles","CA","226","20505"
"759","Mineral Area College","Park Hills","MO","226","1489"
"760","Oklahoma Baptist University","Shawnee","OK","226","1246"
"761","Modesto Junior College","Modesto","CA","225.4","14655"
"762","Missouri State University-Springfield","Springfield","MO","225","13332"
"763","Nassau Community College","Garden City","NY","225","10540"
"764","Unity College","New Gloucester","ME","225","3679"
"765","California Lutheran University","Thousand Oaks","CA","225","2510"
"766","Gettysburg College","Gettysburg","PA","225","2236"
"767","Gardner-Webb University","Boiling Springs","NC","225","1811"
"768","Meredith College","Raleigh","NC","225","1294"
"769","Missouri State University-West Plains","West Plains","MO","225","882"
"770","William Woods University","Fulton","MO","225","754"
"771","Midland College","Midland","TX","224","4737"
"772","St Charles Community College","Cottleville","MO","222","5250"
"773","County College of Morris","Randolph","NJ","222","5174"
"774","Nichols College","Dudley","MA","220","1164"
"775","Brookdale Community College","Lincroft","NJ","220","7914"
"776","The University of Montana","Missoula","MT","220","6937"
"777","SUNY College at Geneseo","Geneseo","NY","220","4078"
"778","Merrimack College","North Andover","MA","220","4065"
"779","Emporia State University","Emporia","KS","220","2663"
"780","Franklin and Marshall College","Lancaster","PA","220","1986"
"781","New England Institute of Technology","East Greenwich","RI","220","1720"
"782","University of Dallas","Irving","TX","220","1446"
"783","Tompkins Cortland Community College","Dryden","NY","220","1416"
"784","Hardin-Simmons University","Abilene","TX","220","1323"
"785","New England College","Henniker","NH","220","1036"
"786","Montcalm Community College","Sidney","MI","220","1031"
"787","Midwestern Baptist Theological Seminary","Kansas City","MO","220","879"
"788","University of South Carolina-Salkehatchie","Allendale","SC","220","293"
"789","Williamson College of the Trades","Media","PA","220","278"
"790","University of Pittsburgh-Greensburg","Greensburg","PA","219","1323"
"791","University of Akron Main Campus","Akron","OH","218","10099"
"792","SUNY Westchester Community College","Valhalla","NY","218","7636"
"793","Pennsylvania State University-Penn State Harrisburg","Middletown","PA","218","4053"
"794","University of Chicago","Chicago","IL","217","7511"
"795","Rock Valley College","Rockford","IL","217","4543"
"796","State University of New York at New Paltz","New Paltz","NY","216","5990"
"797","Southwest Minnesota State University","Marshall","MN","216","1956"
"798","Western Washington University","Bellingham","WA","215","13686"
"799","Western New England University","Springfield","MA","215","2402"
"800","Lewis and Clark Community College","Godfrey","IL","215","2210"
"801","Lewis & Clark College","Portland","OR","215","2187"
"802","Indian Hills Community College","Ottumwa","IA","215","1695"
"803","Clayton  State University","Morrow","GA","214","4540"
"804","Pikes Peak State College","Colorado Springs","CO","212","9153"
"805","Mt Hood Community College","Gresham","OR","212","3345"
"806","Crown College","Saint Bonifacius","MN","212","757"
"807","Radford University","Radford","VA","211","5945"
"808","Full Sail University","Winter Park","FL","210","25526"
"809","University of Central Oklahoma","Edmond","OK","210","10400"
"810","Shippensburg University of Pennsylvania","Shippensburg","PA","210","4283"
"811","Bob Jones University","Greenville","SC","210","2374"
"812","Northeast Iowa Community College","Calmar","IA","210","1808"
"813","Monroe County Community College","Monroe","MI","210","1668"
"814","Harvard University","Cambridge","MA","209","7973"
"815","University of Tulsa","Tulsa","OK","209","2612"
"816","Husson University","Bangor","ME","208","2338"
"817","Bowdoin College","Brunswick","ME","207","1909"
"818","John Wood Community College","Quincy","IL","206.32","1330"
"819","East Central College","Union","MO","206","1750"
"820","Community College of Rhode Island","Warwick","RI","205","11271"
"821","Corban University","Salem","OR","205","795"
"822","College of Staten Island CUNY","Staten Island","NY","204","8987"
"823","Northampton County Area Community College","Bethlehem","PA","204","7282"
"824","Elizabethtown College","Elizabethtown","PA","204","1703"
"825","University of Michigan-Dearborn","Dearborn","MI","202.6","5962"
"826","Savannah State University","Savannah","GA","201","2648"
"827","University of Alaska Southeast","Juneau","AK","201","964"
"828","Wayne State University","Detroit","MI","200","15669"
"829","Chaffey College","Rancho Cucamonga","CA","200","15342"
"830","Palomar College","San Marcos","CA","200","15057"
"831","Rowan University","Glassboro","NJ","200","14914"
"832","Saddleback College","Mission Viejo","CA","200","14307"
"833","Western Kentucky University","Bowling Green","KY","200","12149"
"834","Fort Hays State University","Hays","KS","200","10066"
"835","Harrisburg Area Community College","Harrisburg","PA","200","9854"
"836","William Rainey Harper College","Palatine","IL","200","8686"
"837","Middlesex College","Edison","NJ","200","7900"
"838","Pace University","New York","NY","200","7766"
"839","Laredo College","Laredo","TX","200","7564"
"840","Union County College","Cranford","NJ","200","7454"
"841","Salisbury University","Salisbury","MD","200","6145"
"842","Jefferson State Community College","Birmingham","AL","200","5550"
"843","University of North Alabama","Florence","AL","200","5408"
"844","Bucks County Community College","Newtown","PA","200","5298"
"845","Northeastern State University","Tahlequah","OK","200","4885"
"846","Fairfield University","Fairfield","CT","200","4706"
"847","Lindenwood University","Saint Charles","MO","200","4627"
"848","Middlesex Community College","Bedford","MA","200","4558"
"849","Palo Verde College","Blythe","CA","200","4087"
"850","Central Oregon Community College","Bend","OR","200","3274"
"851","Kent State University at Stark","North Canton","OH","200","2602"
"852","University of Northwestern Ohio","Lima","OH","200","2575"
"853","Concordia University-Wisconsin","Mequon","WI","200","2556"
"854","Casper College","Casper","WY","200","2222"
"855","Benedictine College","Atchison","KS","200","2155"
"856","Rose-Hulman Institute of Technology","Terre Haute","IN","200","2154"
"857","Whitworth University","Spokane","WA","200","2037"
"858","Elizabeth City State University","Elizabeth City","NC","200","1912"
"859","Wor-Wic Community College","Salisbury","MD","200","1886"
"860","Oklahoma Christian University","Edmond","OK","200","1856"
"861","Kaskaskia College","Centralia","IL","200","1778"
"862","Seton Hill University","Greensburg","PA","200","1615"
"863","Lindsey Wilson College","Columbia","KY","200","1608"
"864","Luther College","Decorah","IA","200","1603"
"865","Ouachita Baptist University","Arkadelphia","AR","200","1587"
"866","Virginia Military Institute","Lexington","VA","200","1512"
"867","Central Ohio Technical College","Newark","OH","200","1465"
"868","Muskingum University","New Concord","OH","200","1436"
"869","Haverford College","Haverford","PA","200","1417"
"870","Ohio Wesleyan University","Delaware","OH","200","1401"
"871","John Brown University","Siloam Springs","AR","200","1354"
"872","Saint Vincent College","Latrobe","PA","200","1335"
"873","North Carolina Wesleyan University","Rocky Mount","NC","200","1204"
"874","Midway University","Midway","KY","200","1187"
"875","Fulton-Montgomery Community College","Johnstown","NY","200","993"
"876","William Jewell College","Liberty","MO","200","824"
"877","Colby-Sawyer College","New London","NH","200","814"
"878","University of Saint Mary","Leavenworth","KS","200","798"
"879","Kauai Community College","Lihue","HI","200","756"
"880","Saint Elizabeth University","Morristown","NJ","200","672"
"881","Ellsworth Community College","Iowa Falls","IA","200","560"
"882","Wesleyan College","Macon","GA","200","510"
"883","The Southwestern Baptist Theological Seminary","Fort Worth","TX","200","288"
"884","Whitworth University-Adult Degree Programs","Spokane","WA","200","177"
"885","Virginia Commonwealth University","Richmond","VA","198","20552"
"886","Louisiana State University-Eunice","Eunice","LA","196","2535"
"887","Metropolitan Community College Area","Omaha","NE","195","6653"
"888","University of New Orleans","New Orleans","LA","195","4925"
"889","Trinity Valley Community College","Athens","TX","195","4591"
"890","Itawamba Community College","Fulton","MS","195","3730"
"891","North Central Michigan College","Petoskey","MI","195","988"
"892","Mars Hill University","Mars Hill","NC","194","980"
"893","College of Coastal Georgia","Brunswick","GA","193","2812"
"894","Mount Aloysius College","Cresson","PA","193","1097"
"895","Solano Community College","Fairfield","CA","192","7213"
"896","Birmingham-Southern College","Birmingham","AL","192","968"
"897","SUNY Cortland","Cortland","NY","191","5980"
"898","Alvernia University","Reading","PA","191","2000"
"899","Austin Peay State University","Clarksville","TN","190","7054"
"900","Northwest Mississippi Community College","Senatobia","MS","190","5156"
"901","Holmes Community College","Goodman","MS","190","3901"
"902","Gaston College","Dallas","NC","190","3228"
"903","York College of Pennsylvania","York","PA","190","3219"
"904","Oregon Institute of Technology","Klamath Falls","OR","190","3088"
"905","South Georgia State College","Douglas","GA","190","1570"
"906","University of Rio Grande","Rio Grande","OH","190","704"
"907","Southeastern Illinois College","Harrisburg","IL","190","637"
"908","Blue Mountain Christian University","Blue Mountain","MS","190","540"
"909","Community College of Aurora","Aurora","CO","189","3239"
"910","Linfield University","McMinnville","OR","189","1667"
"911","Tarrant County College District","Fort Worth","TX","188","38915"
"912","Rio Hondo College","Whittier","CA","188","14394"
"913","North Carolina A & T State University","Greensboro","NC","188","11553"
"914","Eckerd College","Saint Petersburg","FL","188","1986"
"915","Roberts Wesleyan University","Rochester","NY","188","1033"
"916","Motlow State Community College","Tullahoma","TN","187","4047"
"917","Concordia University Ann Arbor","Ann Arbor","MI","187","843"
"918","Ohio State University-Marion Campus","Marion","OH","187","833"
"919","Montgomery County Community College","Blue Bell","PA","186","7110"
"920","Saint Leo University","Saint Leo","FL","186","6717"
"921","The College of Saint Scholastica","Duluth","MN","186","1923"
"922","Drew University","Madison","NJ","186","1419"
"923","Embry-Riddle Aeronautical University-Worldwide","Daytona Beach","FL","185","8278"
"924","Morgan State University","Baltimore","MD","185","7599"
"925","Embry-Riddle Aeronautical University-Daytona Beach","Daytona Beach","FL","185","7155"
"926","Kalamazoo Valley Community College","Kalamazoo","MI","185","4947"
"927","Aims Community College","Greeley","CO","185","3448"
"928","Assumption University","Worcester","MA","185","1676"
"929","Averett University","Danville","VA","185","1121"
"930","Oak Hills Christian College","Bemidji","MN","185","91"
"931","Eastern Connecticut State University","Willimantic","CT","184","3534"
"932","Muhlenberg College","Allentown","PA","184","1933"
"933","Texas Lutheran University","Seguin","TX","184","1307"
"934","Isothermal Community College","Spindale","NC","181","1118"
"935","Valencia College","Orlando","FL","180","35867"
"936","Valdosta State University","Valdosta","GA","180","7277"
"937","University of San Diego","San Diego","CA","180","5569"
"938","Green River College","Auburn","WA","180","5518"
"939","Rhode Island College","Providence","RI","180","4596"
"940","Indiana University-Southeast","New Albany","IN","180","3133"
"941","Niagara University","Niagara University","NY","180","2668"
"942","Grove City College","Grove City","PA","180","2160"
"943","Kent State University at Tuscarawas","New Philadelphia","OH","180","1591"
"944","Grace College and Theological Seminary","Winona Lake","IN","180","1458"
"945","Berkshire Community College","Pittsfield","MA","180","1092"
"946","Pittsburgh Technical College","Oakdale","PA","180","997"
"947","Washington State Community College","Marietta","OH","180","936"
"948","Kirtland Community College","Grayling","MI","180","912"
"949","Davis & Elkins College","Elkins","WV","180","644"
"950","The Art Institute of San Antonio","San Antonio","TX","180","180"
"951","Ohio University-Zanesville Campus","Zanesville","OH","179","560"
"952","Zane State College","Zanesville","OH","179","763"
"953","Fairleigh Dickinson University-Florham Campus","Madison","NJ","178","2012"
"954","Kankakee Community College","Kankakee","IL","178","1874"
"955","Centre College","Danville","KY","178","1347"
"956","Piedmont Community College","Roxboro","NC","178","643"
"957","South Plains College","Levelland","TX","177","6378"
"958","Saint Ambrose University","Davenport","IA","177","2108"
"959","West Texas A & M University","Canyon","TX","176","6828"
"960","Siena College","Loudonville","NY","176","3480"
"961","The Catholic University of America","Washington","DC","176","2958"
"962","California State University-Los Angeles","Los Angeles","CA","175","22690"
"963","Evergreen Valley College","San Jose","CA","175","6741"
"964","Xavier University","Cincinnati","OH","175","4837"
"965","Rowan-Cabarrus Community College","Salisbury","NC","175","4195"
"966","University of the Pacific","Stockton","CA","175","3266"
"967","Southern Oregon University","Ashland","OR","175","2898"
"968","Bellarmine University","Louisville","KY","175","2275"
"969","Pacific University","Forest Grove","OR","175","1546"
"970","New Mexico Highlands University","Las Vegas","NM","175","1500"
"971","Hendrix College","Conway","AR","175","1127"
"972","Pennsylvania State University-Penn State Lehigh Valley","Center Valley","PA","175","843"
"973","Alice Lloyd College","Pippa Passes","KY","175","538"
"974","California Northstate University","Elk Grove","CA","175","146"
"975","College of the Holy Cross","Worcester","MA","174","3062"
"976","University of Holy Cross","New Orleans","LA","174","453"
"977","Vincennes University","Vincennes","IN","173","3646"
"978","College of Southern Maryland","La Plata","MD","173","4378"
"979","Alabama State University","Montgomery","AL","172","3296"
"980","Lakewood University","Cleveland Heights","OH","172","169"
"981","Pennsylvania State University-Penn State Altoona","Altoona","PA","171.5","2565"
"982","Dakota County Technical College","Rosemount","MN","171.429","2089"
"983","University of Wisconsin-Oshkosh","Oshkosh","WI","171","7812"
"984","Southern Connecticut State University","New Haven","CT","171","6246"
"985","Tarleton State University","Stephenville","TX","170","11880"
"986","Century College","White Bear Lake","MN","170","5873"
"987","Germanna Community College","Locust Grove","VA","170","5183"
"988","University of Arkansas-Fort Smith","Fort Smith","AR","170","4143"
"989","Johnson & Wales University-Providence","Providence","RI","170","4135"
"990","Monmouth University","West Long Branch","NJ","170","3799"
"991","Plymouth State University","Plymouth","NH","170","3286"
"992","Shelton State Community College","Tuscaloosa","AL","170","3257"
"993","Culinary Institute of America","Hyde Park","NY","170","3005"
"994","Keene State College","Keene","NH","170","2690"
"995","Wofford College","Spartanburg","SC","170","1823"
"996","Ursinus College","Collegeville","PA","170","1505"
"997","Chesapeake College","Wye Mills","MD","170","1273"
"998","Graceland University-Lamoni","Lamoni","IA","170","860"
"999","Alderson Broaddus University","Philippi","WV","170","633"
"1000","Alaska Pacific University","Anchorage","AK","170","457"
"1001","Huntington University of Health Sciences","Knoxville","TN","170","39"
"1002","John A Logan College","Carterville","IL","169.3","2067"
"1003","Washington University in St Louis","Saint Louis","MO","169","7801"
"1004","Southwestern College","Chula Vista","CA","168","14685"
"1005","Oakton Community College","Des Plaines","IL","168","5918"
