"Rank","College or University","City","State","Acres","Enrollment of Undergraduate Certificate/Degree-Seeking Students (2022-2023)"
"108","Western Michigan University","Kalamazoo","MI","1270","13264"
"109","University of Missouri-Columbia","Columbia","MO","1,262","23206"
"110","University of Notre Dame","Notre Dame","IN","1,250","8917"
"111","University of Mary","Bismarck","ND","1,236","2149"
"112","University of California-Berkeley","Berkeley","CA","1,232","32475"
"113","University of California-San Diego","La Jolla","CA","1,200","33092"
"114","University of California-Riverside","Riverside","CA","1,200","22842"
"115","Appalachian State University","Boone","NC","1,200","18467"
"116","University of Rhode Island","Kingston","RI","1,200","13828"
"117","University of South Alabama","Mobile","AL","1,200","8171"
"118","Norwich University","Northfield","VT","1200","2706"
"119","Kenyon College","Gambier","OH","1200","1877"
"120","Franklin Pierce University","Rindge","NH","1200","1115"
"121","Saint Joseph Seminary College","St. Benedict","LA","1200","106"
"122","University at Buffalo","Buffalo","NY","1,192","20569"
"123","California State University-Channel Islands","Camarillo","CA","1187","5717"
"124","Oakwood University","Huntsville","AL","1186","1378"
"125","Alabama A & M University","Normal","AL","1173","5196"
"126","Montana State University","Bozeman","MT","1,170","14343"
"127","Montana State University-Northern","Havre","MT","1170","816"
"128","William & Mary","Williamsburg","VA","1158","6778"
"129","Bowling Green State University-Main Campus","Bowling Green","OH","1,132","12223"
"130","University of Maryland Eastern Shore","Princess Anne","MD","1130","1877"
"131","Yale University","New Haven","CT","1108","6639"
"132","Toccoa Falls College","Toccoa Falls","GA","1100","835"
"133","Western Illinois University","Macomb","IL","1050","5196"
"134","New York Institute of Technology","Old Westbury","NY","1050","3279"
"135","Carleton College","Northfield","MN","1,040","2007"
"136","Stony Brook University","Stony Brook","NY","1,039","17406"
"137","College of Charleston","Charleston","SC","1,025","9667"
"138","University of North Texas","Denton","TX","1,017","33023"
"139","University of North Carolina at Charlotte","Charlotte","NC","1,000","23063"
"140","Baylor University","Waco","TX","1,000","15134"
"141","The University of Tennessee-Martin","Martin","TN","1000","4629"
"142","Skidmore College","Saratoga Springs","NY","1000","2744"
"143","Vassar College","Poughkeepsie","NY","1000","2430"
"144","Bard College","Annandale-On-Hudson","NY","1,000","2174"
"145","St Lawrence University","Canton","NY","1000","2130"
"146","Amherst College","Amherst","MA","1000","1898"
"147","The Evergreen State College","Olympia","WA","1,000","1799"
"148","Delaware Valley University","Doylestown","PA","1,000","1631"
"149","College of the Ozarks","Point Lookout","MO","1000","1481"
"150","Lincoln Memorial University","Harrogate","TN","1000","1461"
"151","University of California-Santa Barbara","Santa Barbara","CA","989","23419"
"152","University of Delaware","Newark","DE","970","18665"
"153","Taylor University","Upland","IN","952","1767"
"154","University of Kansas","Lawrence","KS","950","18539"
"155","University of Wisconsin-Madison","Madison","WI","939","35184"
"156","Lees-McRae College","Banner Elk","NC","935","854"
"157","Denison University","Granville","OH","931","2406"
"158","Binghamton University","Vestal","NY","930","14398"
"159","Butte College","Oroville","CA","928","8676"
"160","Baker University","Baldwin City","KS","927","1115"
"161","Michigan Technological University","Houghton","MI","925","5633"
"162","The University of Tennessee-Knoxville","Knoxville","TN","920","26905"
"163","Illinois State University","Normal","IL","920","18019"
"164","University of Kentucky","Lexington","KY","918","22115"
"165","Northwestern State University of Louisiana","Natchitoches","LA","916","6243"
"166","Potomac State College of West Virginia University","Keyser","WV","915","954"
"167","SUNY College of Agriculture and Technology at Cobleskill","Cobleskill","NY","902","1774"
"168","Georgia Southern University","Statesboro","GA","900","20996"
"169","New Mexico State University-Main Campus","Las Cruces","NM","900","11065"
"170","University of Northern Iowa","Cedar Falls","IA","900","7571"
"171","New Mexico State University-Alamogordo","Alamogordo","NM","900","544"
"172","Eastern Kentucky University","Richmond","KY","892","11215"
"173","Kentucky State University","Frankfort","KY","882","1343"
"174","Ferris State University","Big Rapids","MI","880","8390"
"175","University of Mobile","Mobile","AL","880","1108"
"176","Central Michigan University","Mount Pleasant","MI","871","10297"
"177","Kent State University at Kent","Kent","OH","866","19179"
"178","Western Nevada College","Carson City","NV","862","1907"
"179","Pennsylvania State University-Penn State Erie-Behrend College","Erie","PA","854","3149"
"180","Florida Atlantic University","Boca Raton","FL","850","23074"
"181","Cedarville University","Cedarville","OH","850","3851"
"182","Campbell University","Buies Creek","NC","850","2933"
"183","Davidson College","Davidson","NC","841","1922"
"184","Francis Marion University","Florence","SC","832","2684"
"185","Pepperdine University","Malibu","CA","830","3656"
"186","Northern Arizona University","Flagstaff","AZ","829","23090"
"187","University of Wisconsin-Platteville","Platteville","WI","816","5920"
"188","Florida Gulf Coast University","Fort Myers","FL","807","13788"
"189","University of New Mexico-Main Campus","Albuquerque","NM","800","15642"
"190","Eastern Michigan University","Ypsilanti","MI","800","11206"
"191","Colorado Mountain College","Glenwood Springs","CO","800","2701"
"192","Young Harris College","Young Harris","GA","800","837"
"193","Richard Bland College","South Prince George","VA","800","728"
"194","Earlham College","Richmond","IN","800","589"
"195","Hampshire College","Amherst","MA","800","505"
"196","American Musical and Dramatic Academy","New York","NY","778","1471"
"197","Northeast Community College","Norfolk","NE","771","2530"
"198","University of Georgia","Athens","GA","760","30566"
"199","Governors State University","University Park","IL","760","2589"
"200","Northern Illinois University","Dekalb","IL","756","11408"
"201","Tufts University","Medford","MA","750","6747"
"202","Furman University","Greenville","SC","750","2278"
"203","Connecticut College","New London","CT","750","1915"
"204","Saginaw Valley State University","University Center","MI","748","6211"
"205","University of Illinois Springfield","Springfield","IL","746","2348"
"206","Cornell College","Mount Vernon","IA","745","1056"
"207","Asbury University","Wilmore","KY","739","1256"
"208","Ball State University","Muncie","IN","731","13466"
"209","Missouri Western State University","Saint Joseph","MO","723","2628"
"210","Colby College","Waterville","ME","714","2299"
"211","University of Massachusetts-Dartmouth","North Dartmouth","MA","710","5331"
"212","University of Arkansas","Fayetteville","AR","709","26002"
"213","Syracuse University","Syracuse","NY","708","15071"
"214","University of Rochester","Rochester","NY","707","6569"
"215","Rochester University","Rochester Hills","MI","707","848"
"216","University of Washington-Seattle Campus","Seattle","WA","700","30931"
"217","University of Wisconsin-Green Bay","Green Bay","WI","700","6305"
"218","Park University","Parkville","MO","700","6061"
"219","Quinnipiac University","Hamden","CT","700","6021"
"220","State University of New York at Oswego","Oswego","NY","700","5957"
"221","The University of Texas Permian Basin","Odessa","TX","700","4060"
"222","University of Wisconsin-Parkside","Kenosha","WI","700","2969"
"223","Mount Holyoke College","South Hadley","MA","700","2183"
"224","Southwestern University","Georgetown","TX","700","1480"
"225","Ferrum College","Ferrum","VA","700","780"
"226","Alpena Community College","Alpena","MI","700","726"
"227","University of Wisconsin-Parkside Flex","Kenosha","WI","700","145"
"228","Clear Creek Baptist Bible College","Pineville","KY","700","102"
"229","Dharma Realm Buddhist University","Ukiah","CA","700","0"
"230","DePauw University","Greencastle","IN","695","1732"
"231","Texas A&M University-San Antonio","San Antonio","TX","694","6404"
"232","Georgia College & State University","Milledgeville","GA","693","5185"
"233","Purdue University Fort Wayne","Fort Wayne","IN","683","5482"
"234","Case Western Reserve University","Cleveland","OH","679","5927"
"235","George Mason University","Fairfax","VA","677","26447"
"236","The University of Texas Rio Grande Valley","Edinburg","TX","672.39","26420"
"237","Texas A&M University-Central Texas","Killeen","TX","672","1706"
"238","Augusta University","Augusta","GA","670","5098"
"239","Ithaca College","Ithaca","NY","670","4601"
"240","University of Houston","Houston","TX","667","37080"
"241","Kansas State University","Manhattan","KS","660","14762"
"242","University of Maine","Orono","ME","660","8720"
"243","Slippery Rock University of Pennsylvania","Slippery Rock","PA","660","6707"
"244","Elon University","Elon","NC","656","6337"
"245","University of Pittsburgh-Johnstown","Johnstown","PA","655","2039"
"246","Troy University","Troy","AL","650","10316"
"247","Hanover College","Hanover","IN","650","949"
"248","Sul Ross State University","Alpine","TX","647","1495"
"249","University of West Georgia","Carrollton","GA","645","7939"
"250","Pensacola State College","Pensacola","FL","641","6249"
"251","Delta College","University Center","MI","640","5624"
"252","Clarkson University","Potsdam","NY","640","2587"
"253","Ohio State University-Mansfield Campus","Mansfield","OH","640","722"
"254","Clarkson College","Omaha","NE","640","631"
"255","Central State University","Wilberforce","OH","638","5395"
"256","University of Alabama at Birmingham","Birmingham","AL","636","12776"
"257","Kirkwood Community College","Cedar Rapids","IA","635","7370"
"258","Wright State University-Main Campus","Dayton","OH","634","6327"
"259","SUNY College of Technology at Delhi","Delhi","NY","625","2459"
"260","Coastal Carolina University","Conway","SC","621","9495"
"261","Methodist University","Fayetteville","NC","617","1442"
"262","Southeastern Baptist Theological Seminary","Wake Forest","NC","615","458"
"263","Crowder College","Neosho","MO","608","2705"
"264","SUNY College at Old Westbury","Old Westbury","NY","604","3800"
"265","Truman State University","Kirksville","MO","603","2920"
"266","University of Colorado Boulder","Boulder","CO","600","30598"
"267","The University of Texas at San Antonio","San Antonio","TX","600","29112"
"268","University of North Carolina Wilmington","Wilmington","NC","600","13960"
"269","Western Carolina University","Cullowhee","NC","600","9809"
"270","Emory University","Atlanta","GA","600","7017"
"271","Princeton University","Princeton","NJ","600","5527"
"272","Pittsburg State University","Pittsburg","KS","600","4221"
"273","Middlebury College","Middlebury","VT","600","2751"
"274","University of West Alabama","Livingston","AL","600","2424"
"275","Saint Francis University","Loretto","PA","600","1639"
"276","North Central State College","Mansfield","OH","600","1250"
"277","Grambling State University","Grambling","LA","590","4163"
"278","San Juan College","Farmington","NM","590","3987"
"279","Colorado State University-Fort Collins","Fort Collins","CO","582","25150"
"280","Colgate University","Hamilton","NY","575","3124"
"281","Albion College","Albion","MI","574","1445"
"282","Oregon State University","Corvallis","OR","570","28407"
"283","Ohlone College","Fremont","CA","565","6420"
"284","James A. Rhodes State College","Lima","OH","565","1383"
"285","Ohio State University-Lima Campus","Lima","OH","565","731"
"286","Brigham Young University","Provo","UT","560","31411"
"287","Central Texas College","Killeen","TX","560","4818"
"288","Mid Michigan College","Harrison","MI","560","2108"
"289","Brigham Young University-Hawaii","Laie","HI","557","2716"
"290","SUNY College of Technology at Canton","Canton","NY","555","2758"
"291","Pennsylvania College of Technology","Williamsport","PA","552.57","4193"
"292","Metropolitan Community College-Kansas City","Kansas City","MO","550","10586"
"293","DeSales University","Center Valley","PA","550","2175"
"294","SUNY Corning Community College","Corning","NY","550","1344"
"295","Eastern Florida State College","Melbourne","FL","544","9714"
"296","Vermont Technical College","Randolph","VT","544","1112"
"297","Kennesaw State University","Kennesaw","GA","543","38051"
"298","Atlantic Cape Community College","Mays Landing","NJ","541","3845"
"299","University of New England","Biddeford","ME","540","2272"
"300","Allegheny College","Meadville","PA","540","1324"
"301","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","539","3114"
"302","University of Colorado Colorado Springs","Colorado Springs","CO","532","9102"
"303","Florida Polytechnic University","Lakeland","FL","530.87","1517"
"304","Weber State University","Ogden","UT","526","15540"
"305","Copiah-Lincoln Community College","Wesson","MS","525","1973"
"306","Reinhardt University","Waleska","GA","525","1014"
"307","University of Houston-Clear Lake","Houston","TX","524","6343"
"308","Crafton Hills College","Yucaipa","CA","523","4312"
"309","University of North Dakota","Grand Forks","ND","521","9066"
"310","High Point University","High Point","NC","520","4965"
"311","Rochester Community and Technical College","Rochester","MN","518","3140"
"312","Arkansas Tech University","Russellville","AR","516","6108"
"313","Abraham Baldwin Agricultural College","Tifton","GA","516","3160"
"314","University of Nebraska at Kearney","Kearney","NE","514","4159"
"315","Southern University and A & M College","Baton Rouge","LA","512","5171"
"316","Southern University Law Center","Baton Rouge","LA","512","629"
"317","Nevada State College","Henderson","NV","511","4581"
"318","Mississippi Gulf Coast Community College","Perkinston","MS","508","6284"
"319","Texas State University","San Marcos","TX","507","33834"
"320","Middle Tennessee State University","Murfreesboro","TN","500","16239"
"321","Oakland Community College","Auburn Hills","MI","500","11503"
"322","University of Maryland-Baltimore County","Baltimore","MD","500","10557"
"323","University of Alabama in Huntsville","Huntsville","AL","500","6985"
"324","Colorado School of Mines","Golden","CO","500","5662"
"325","Auburn University at Montgomery","Montgomery","AL","500","3307"
"326","SUNY at Purchase College","Purchase","NY","500","3050"
"327","Jackson College","Jackson","MI","500","2953"
"328","Grayson College","Denison","TX","500","2707"
"329","Wingate University","Wingate","NC","500","2509"
"330","Wellesley College","Wellesley","MA","500","2353"
"331","St Bonaventure University","Saint Bonaventure","NY","500","1791"
"332","North Iowa Area Community College","Mason City","IA","500","1370"
"333","Herkimer County Community College","Herkimer","NY","500","1298"
"334","Tougaloo College","Tougaloo","MS","500","541"
"335","Touro University Nevada","Henderson","NV","500","15"
"336","Dorsey College","Madison Heights","MI","500","480"
"337","Iowa State University","Ames","IA","490","24994"
"338","Florida State University","Tallahassee","FL","485.7","32691"
"339","Hollins University","Roanoke","VA","475","689"
"340","Saint Joseph's College of Maine","Standish","ME","474","963"
"341","James Madison University","Harrisonburg","VA","472","19968"
"342","SUNY Brockport","Brockport","NY","464","5107"
"343","Northwood University","Midland","MI","464","1911"
"344","University of Vermont","Burlington","VT","460","11326"
"345","Gould's Academy","Memphis","TN","456","157"
"346","University of South Carolina Aiken","Aiken","SC","453","2817"
"347","Tennessee State University","Nashville","TN","450","7346"
"348","Trine University","Angola","IN","450","2250"
"349","Williams College","Williamstown","MA","450","2138"
"350","Gordon College","Wenham","MA","450","1255"
"351","Mississippi Valley State University","Itta Bena","MS","450","1169"
"352","Saint Mary's University of Minnesota","Winona","MN","450","1080"
"353","Trine University-Regional/Non-Traditional Campuses","Angola","IN","450","266"
"354","Bucknell University","Lewisburg","PA","449","3732"
"355","The University of Texas at Dallas","Richardson","TX","445","21586"
"356","Oberlin College","Oberlin","OH","440","2986"
"357","Saint Michael's College","Colchester","VT","440","1200"
"358","Concordia University Texas","Austin","TX","435","1571"
"359","Western Wyoming Community College","Rock Springs","WY","435","1239"
"360","Eastern New Mexico University-Main Campus","Portales","NM","433","2899"
"361","Eastern New Mexico University-Roswell Campus","Roswell","NM","433","1307"
"362","The University of Texas at Austin","Austin","TX","431","40980"
"363","Brigham Young University-Idaho","Rexburg","ID","430","42213"
"364","California State University-San Bernardino","San Bernardino","CA","430","16712"
"365","Lincoln University","Lincoln University","PA","429","1704"
"366","Lincoln University","Jefferson City","MO","429","1323"
"367","Bryant University","Smithfield","RI","428","3193"
"368","Wright State University-Lake Campus","Celina","OH","428","984"
"369","Bryant & Stratton College-Albany","Albany","NY","428","277"
"370","Los Angeles Pierce College","Woodland Hills","CA","426","12896"
"371","Winthrop University","Rock Hill","SC","425","3376"
"372","Hutchinson Community College","Hutchinson","KS","425","3033"
"373","Illinois Valley Community College","Oglesby","IL","425","1808"
"374","Swarthmore College","Swarthmore","PA","425","1619"
"375","Hartwick College","Oneonta","NY","425","1085"
"376","Lincoln University","Oakland","CA","422","177"
"377","Mt San Antonio College","Walnut","CA","421","23073"
"378","Stephen F Austin State University","Nacogdoches","TX","421","8961"
"379","The University of Texas at Arlington","Arlington","TX","420","30503"
"380","The University of Texas at El Paso","El Paso","TX","420","20123"
"381","Reedley College","Reedley","CA","420","4897"
"382","Uta Mesivta of Kiryas Joel","Monroe","NY","420","2590"
"383","Saint Mary's College of California","Moraga","CA","420","1994"
"384","Saint Mary's College","Notre Dame","IN","420","1378"
"385","University of California-Los Angeles","Los Angeles","CA","419","32423"
"386","Florida Agricultural and Mechanical University","Tallahassee","FL","411.5","7436"
"387","Lewis University","Romeoville","IL","410","3650"
