University Name,In State Tuition,Out of State Tuition,Admission Rate,Number of Students,Graduation Rate 4-years,Earnings After 10 Years,Retention Rate,Diversity Score,Public or Private,Research Score,ar score,er score,isr score,fsr score,ifr score,Acres,Safety,Facilities,Social,Average Sentiment,University ID
Georgia Institute of Technology,11764,32876,0.1713,17379,0.9225,102772,0.9786,0.70021324,1,38.0,67.4,85.1,65.4,15.3,38.8,400.0,3.9,4.2,3.6,0.4941307170050484,33
"University of California, Davis",14858,44930,0.3734,31512,0.8663,80838,0.919,0.64697662,1,40.9,63.9,44.7,49.3,30.4,70.3,5300.0,4.3,4.3,3.8,0.4558610703263964,34
"University of California, Irvine",13939,44011,0.2115,28651,0.8523,80735,0.9127,0.61816914,1,38.4,37.6,16.6,49.6,14.6,56.9,1475.0,4.7,4.4,3.6,0.4972357835088457,35
"University of Illinois, Urbana-Champaign",15714,33686,0.4482,34031,0.8479,81054,0.9332,0.68657786,1,38.8,85.0,70.8,49.2,7.5,11.1,6370.0,3.7,4.4,4.3,0.631340218441827,36
Boston College,22144,22144,0.167,259,0.4545,62123,0.8235,0.5977814199999999,0,30.0,20.5,12.9,18.3,19.3,12.0,240.0,4.7,4.3,3.8,0.5425226739474706,37
Tufts University,65222,65222,0.0969,6747,0.9376,83214,0.9605,0.65943462,0,33.5,18.1,5.3,36.2,56.2,25.2,750.0,4.3,4.2,3.9,0.6114640286990575,38
"University of California, Santa Barbara",14617,44689,0.2585,23419,0.8553,74915,0.9236,0.63449646,1,35.6,54.8,19.0,21.6,9.5,70.4,989.0,3.7,4.4,4.5,0.4452852972916194,39
"University of Wisconsin, Madison",10796,39427,0.4906,35184,0.8921,73792,0.9433,0.5343167400000001,1,41.9,80.2,47.8,22.8,61.3,30.9,939.0,4.3,4.6,4.8,0.7333147653511592,40
Boston University,62360,62360,0.1437,17668,0.8916,83238,0.9397,0.6717056599999999,0,40.3,61.7,68.3,87.5,32.7,21.6,140.0,4.2,3.7,3.7,0.3245605613504137,41
"Ohio State University, Columbus",8998,33235,0.027,421,0.67,60409,0.5149,0.12970778,1,43.8,59.4,55.8,16.5,53.8,49.7,1700.0,3.4,4.3,4.3,0.6093701677662986,42
"Rutgers University, New Brunswick",16112,33812,0.7652,4077,0.6716,74479,0.7856,0.71012678,1,36.2,36.9,24.7,32.8,48.7,18.9,2600.0,3.2,3.8,4.1,0.315511781828744,43
"University of Maryland, College Park",53430,53430,0.8348,3968,0.7956,82652,0.8458,0.5161668400000001,0,39.9,49.2,26.1,14.0,35.1,31.6,1347.0,3.1,3.9,3.9,0.2618329746382577,44
University of Rochester,26736,26736,0.7137,848,0.4016,48707,0.609,0.55893324,0,35.5,22.1,18.4,91.7,97.9,71.4,707.0,3.5,4.0,3.3,0.2339513233729771,45
Lehigh University,59930,59930,0.3698,5612,0.8926,105584,0.9085,0.5677350999999999,0,30.0,5.8,4.2,29.6,26.2,62.4,2355.0,3.6,4.3,4.2,0.4458291462489537,46
Purdue University,8985,21573,0.8066,5482,0.3701,45872,0.6272,0.4551980199999998,1,36.4,63.9,81.2,45.8,10.3,41.5,2500.0,4.5,4.2,3.9,0.5087139844894409,47
University of Georgia,4980,15702,0.7318,2092,0.3522,48757,0.5973,0.5852677599999999,1,32.9,20.9,18.2,4.5,9.7,9.7,760.0,4.0,4.6,4.5,0.764317102091653,48
University of Washington,8967,26873,0.9269,13686,0.665,62569,0.7736,0.46899334,1,54.5,84.0,50.4,33.2,19.1,19.0,700.0,3.0,4.3,3.5,0.3529634978090014,49
Wake Forest University,62128,62128,0.2137,5446,0.8994,78158,0.9376,0.5035221000000001,0,32.5,5.4,6.1,13.5,100.0,5.4,340.0,4.5,4.6,3.9,0.5395059858049666,50
